DATASET;dataset_Path;subfolders;tiled;extentions;priority;resolution;datum;type;Sentinel2_year;Path_extent_file;ApplyCorrection
CLOCA_extent;MNT_Ontario\CLOCA;False;True;.img;31;0.5;CGVD2013;topo;2018;topo\MNT_Ontario\CLOCA_extent.shp;True
GTA_extent;MNT_Ontario\GTA;False;True;.img;35;0.5;CGVD2013;topo;2016;topo\MNT_Ontario\GTA_extent.shp;True
HALTON_extent;MNT_Ontario\HALTON;False;True;.img;32;0.5;CGVD2013;topo;2018;topo\MNT_Ontario\HALTON_extent.shp;True
Peterborough_extent;MNT_Ontario\PETERBOROUGH;False;True;.img;34;0.5;CGVD2013;topo;2016-2017;topo\MNT_Ontario\Peterborough_extent.shp;True
SNC_extent;MNT_Ontario\SNC;False;True;.img;33;0.5;CGVD2013;topo;2018-2019;topo\MNT_Ontario\SNC_extent.shp;True
LEAP_extent;MNT_Ontario\LEAP;False;True;.img;43;1;CGVD28;topo;2017;topo\MNT_Ontario\LEAP_extent.shp;True
4013783;Lidar_bathy_SHC;False;False;.tif;61;5;CD;bathy;;bathy\LIDAR_BATHY_OTHERS\4013783.shp;False
4013782;Lidar_bathy_SHC;False;False;.tif;62;5;CD;bathy;;bathy\LIDAR_BATHY_OTHERS\4013782.shp;False
DRAPE_2014_H_extent;imagery_derived_DEM\DRAPE_2014_H;False;True;.img;54;2;CGVD28;topo;2016;topo\IMAGERY\DRAPE_2014_H_extent.shp;True
DRAPE_2014_I_extent;imagery_derived_DEM\DRAPE_2014_I;False;True;.img;55;2;CGVD28;topo;2016;topo\IMAGERY\DRAPE_2014_I_extent.shp;True
Hamilton_Niagara_extent;MNT_NRCAN;False;True;.tif;30;1;CGVD2013;topo;2021;topo\MNT_Ontario\Hamilton_Niagara_extent.shp;True
1HIE;GLPI\1HIE;False;False;.tif;12;2;CGVD28;topo;2018;topo\GLPI\1HIE.shp;False
2ACM;GLPI\2ACM;False;False;.tif;13;2;CGVD28;topo;2018;topo\GLPI\2ACM.shp;False
3SBM;GLPI\3SBM;False;False;.tif;14;2;CGVD28;topo;2018;topo\GLPI\3SBM.shp;False
4WMH;GLPI\4WMH;False;False;.tif;15;2;CGVD2013;topo;2018;topo\GLPI\4WMH.shp;False
5LCM;GLPI\5LCM;False;False;.tif;16;2;CGVD2013;topo;2018;topo\GLPI\5LCM.shp;False
6JSM;GLPI\6JSM;False;False;.tif;17;2;CGVD2013;topo;2018;topo\GLPI\6JSM.shp;False
SCOOP_2013_H_extent;imagery_derived_DEM\SCOOP_2013_DTM_PackageH;False;True;.img;56;2;CGVD28;topo;2016;topo\IMAGERY\SCOOP_2013_H_extent.shp;True
SCOOP_2013_G_extent;imagery_derived_DEM\SCOOP_2013_DTM_PackageG;False;True;.img;57;2;CGVD28;topo;2016;topo\IMAGERY\SCOOP_2013_G_extent.shp;True
DRAPE_2014_G_extent;imagery_derived_DEM\DRAPE_2014_G;False;True;.img;58;2;CGVD28;topo;2016;topo\IMAGERY\DRAPE_2014_G_extent.shp;True
DRAPE_2014_F_extent;imagery_derived_DEM\DRAPE_2014_DTM_PackageF;False;True;.img;59;2;CGVD28;topo;2016;topo\IMAGERY\DRAPE_2014_F_extent.shp;True
DRAPE_2014_D_extent;imagery_derived_DEM\DRAPE_2014_D;False;True;.img;60;2;CGVD28;topo;2016;topo\IMAGERY\DRAPE_2014_D_extent.shp;True
SHOAL_GTA_extent;SHOAL;False;False;.csv;55;5;CGVD28;bathy;;;False
SHOAL_Niagara_extent;SHOAL;False;False;.csv;56;5;CGVD28;bathy;;;False
CE_M1-1_mosaic_min_post_treated_min_IGLD85;Lidar_bathy_SHC;False;False;.tif;52;2;IGLD85;bathy;2017;bathy\LIDAR_BATHY_SHC\CE_M1-1_mosaic_min_post_treated_min_IGLD85.shp;True
CE_M1-2_mosaic_min_post_treated_min_IGLD85;Lidar_bathy_SHC;False;False;.tif;51;2;IGLD85;bathy;2017;bathy\LIDAR_BATHY_SHC\CE_M1-2_mosaic_min_post_treated_min_IGLD85.shp;True
CE_M1-3_mosaic_min_post_treated_min_IGLD85;Lidar_bathy_SHC;False;False;.tif;50;2;IGLD85;bathy;2017;bathy\LIDAR_BATHY_SHC\CE_M1-3_mosaic_min_post_treated_min_IGLD85.shp;True
CE_M2-A_mosaic_min_post_treated_min_IGLD85;Lidar_bathy_SHC;False;False;.tif;49;2;IGLD85;bathy;2017;bathy\LIDAR_BATHY_SHC\CE_M2-A_mosaic_min_post_treated_min_IGLD85.shp;True
CE_M2-B_mosaic_min_post_treated_min_IGLD85;Lidar_bathy_SHC;False;False;.tif;48;2;IGLD85;bathy;2017;bathy\LIDAR_BATHY_SHC\CE_M2-B_mosaic_min_post_treated_min_IGLD85.shp;True
CE_M2-C_mosaic_min_post_treated_min_IGLD85;Lidar_bathy_SHC;False;False;.tif;47;2;IGLD85;bathy;2017;bathy\LIDAR_BATHY_SHC\CE_M2-C_mosaic_min_post_treated_min_IGLD85.shp;True
CE_M2-D_mosaic_min_post_treated_min_IGLD85;Lidar_bathy_SHC;False;False;.tif;46;2;IGLD85;bathy;2017;bathy\LIDAR_BATHY_SHC\CE_M2-D_mosaic_min_post_treated_min_IGLD85.shp;True
CE_M2-E_mosaic_min_post_treated_min_IGLD85;Lidar_bathy_SHC;False;False;.tif;45;2;IGLD85;bathy;2017;bathy\LIDAR_BATHY_SHC\CE_M2-E_mosaic_min_post_treated_min_IGLD85.shp;True
CE_M2-F_mosaic_min_post_treated_min_IGLD85;Lidar_bathy_SHC;False;False;.tif;44;2;IGLD85;bathy;2017;bathy\LIDAR_BATHY_SHC\CE_M2-F_mosaic_min_post_treated_min_IGLD85.shp;True
CE_M1-1_mosaic_min_post_treated_min_IGLD85_wetlands;Lidar_bathy_SHC;False;False;.tif;18;2;IGLD85;topo;2017;bathy\LIDAR_BATHY_WETLANDS\CE_M1-1_mosaic_min_post_treated_min_IGLD85_wetlands.shp;True
CE_M1-2_mosaic_min_post_treated_min_IGLD85_wetlands;Lidar_bathy_SHC;False;False;.tif;19;2;IGLD85;topo;2017;bathy\LIDAR_BATHY_WETLANDS\CE_M1-2_mosaic_min_post_treated_min_IGLD85_wetlands.shp;True
CE_M1-3_mosaic_min_post_treated_min_IGLD85_wetlands;Lidar_bathy_SHC;False;False;.tif;20;2;IGLD85;topo;2017;bathy\LIDAR_BATHY_WETLANDS\CE_M1-3_mosaic_min_post_treated_min_IGLD85_wetlands.shp;True
CE_M2-A_mosaic_min_post_treated_min_IGLD85_wetlands;Lidar_bathy_SHC;False;False;.tif;21;2;IGLD85;topo;2017;bathy\LIDAR_BATHY_WETLANDS\CE_M2-A_mosaic_min_post_treated_min_IGLD85_wetlands.shp;True
CE_M2-B_mosaic_min_post_treated_min_IGLD85_wetlands;Lidar_bathy_SHC;False;False;.tif;22;2;IGLD85;topo;2017;bathy\LIDAR_BATHY_WETLANDS\CE_M2-B_mosaic_min_post_treated_min_IGLD85_wetlands.shp;True
CE_M2-C_mosaic_min_post_treated_min_IGLD85_wetlands;Lidar_bathy_SHC;False;False;.tif;23;2;IGLD85;topo;2017;bathy\LIDAR_BATHY_WETLANDS\CE_M2-C_mosaic_min_post_treated_min_IGLD85_wetlands.shp;True
CE_M2-D_mosaic_min_post_treated_min_IGLD85_wetlands;Lidar_bathy_SHC;False;False;.tif;24;2;IGLD85;topo;2017;bathy\LIDAR_BATHY_WETLANDS\CE_M2-D_mosaic_min_post_treated_min_IGLD85_wetlands.shp;True
CE_M2-E_mosaic_min_post_treated_min_IGLD85_wetlands;Lidar_bathy_SHC;False;False;.tif;25;2;IGLD85;topo;2017;bathy\LIDAR_BATHY_WETLANDS\CE_M2-E_mosaic_min_post_treated_min_IGLD85_wetlands.shp;True
CE_M2-F_mosaic_min_post_treated_min_IGLD85_wetlands;Lidar_bathy_SHC;False;False;.tif;26;2;IGLD85;topo;2017;bathy\LIDAR_BATHY_WETLANDS\CE_M2-F_mosaic_min_post_treated_min_IGLD85_wetlands.shp;True
polyberge_BayfieldBay;LOSLR_Wetland_Bathymetry;False;False;.tif;1;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_BayfieldBay.shp;False
polyberge_BigSandBay;LOSLR_Wetland_Bathymetry;False;False;.tif;2;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_BigSandBay.shp;False
polyberge_ButtonBay;LOSLR_Wetland_Bathymetry;False;False;.tif;3;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_ButtonBay.shp;False
polyberge_HayBay1;LOSLR_Wetland_Bathymetry;False;False;.tif;4;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_HayBay1.shp;False
polyberge_HayBay2;LOSLR_Wetland_Bathymetry;False;False;.tif;5;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_HayBay2.shp;False
polyberge_HuycksBay;LOSLR_Wetland_Bathymetry;False;False;.tif;6;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_HuycksBay.shp;False
polyberge_LittleCataraqui;LOSLR_Wetland_Bathymetry;False;False;.tif;7;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_LittleCataraqui.shp;False
polyberge_ParrottBay;LOSLR_Wetland_Bathymetry;False;False;.tif;8;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_ParrottBay.shp;False
polyberge_PortBritain;LOSLR_Wetland_Bathymetry;False;False;.tif;9;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_PortBritain.shp;False
polyberge_RobinsonCove;LOSLR_Wetland_Bathymetry;False;False;.tif;10;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_RobinsonCove.shp;False
polyberge_WilmotCreek;LOSLR_Wetland_Bathymetry;False;False;.tif;11;5;IGLD85;topo;2016;bathy\LOSLR_WETLANDS\polyberge_WilmotCreek.shp;False
DEM_USACE_extent_LKO;USACE_DEM_2023\LKO;False;True;.tif;26;1;IGLD85;topo;2019;topo\USA\DEM_USACE_extent_LKO.shp;True
DEM_USACE_extent_USL;USACE_DEM_2023\USL;False;True;.tif;25;1;IGLD85;topo;2019;topo\USA\DEM_USACE_extent_USL.shp;True
OLD_USACE_extent;USACE_OLD;False;True;.tif;27;1;IGLD85;topo;2019;topo\USA\OLD_USACE_extent.shp;True
MNT_Lidar_QC_2018_extent;MNT_QC;False;True;.tif;28;1;CGVD28;topo;2018;topo\MNT_QC\MNT_Lidar_QC_2018_extent.shp;True
CMM_Lidar_extent;MNT_CMM;False;True;.tif;29;0.25;CGVD28;topo;2018;topo\MNT_CMM\CMM_Lidar_extent.shp;True
NOAA_NONNA;NOAA_NONNA;False;True;.tiff;70;10;CD;bathy;;;False
DEM_Paul_GLAM_L2M150_proj;Bathy_SLR;False;False;.csv;64;10;IGLD85;bathy;;;False
DEM_Paul_GLAM_Lachine+3patch150_proj;Bathy_SLR;False;False;.csv;65;10;IGLD85;bathy;;;False
LSL_11mars20_GLAM_clean2150_proj;Bathy_SLR;False;False;.csv;66;10;IGLD85;bathy;;;False
Lano_Champlain_V2023_proj150;Bathy_SLR;False;False;.csv;67;10;IGLD85;bathy;;;False
Mtl_LanoNA_V2023_proj150;Bathy_SLR;False;False;.csv;68;10;IGLD85;bathy;;;False
LSF_2023_IGLD_proj150;Bathy_SLR;False;False;.csv;69;10;IGLD85;bathy;;;False
